variable,mean_ever_nv,mean_ever_v,mean_never,p_nv_vs_v
mpv_killings,0.3453585569731618,1.0300751879699233,NA,2.370457404611144e-34
pop,139165.75758908954,424308.12781954854,NA,1.0307268764495882e-92
spend_education,21992.382366589205,59806.7928118394,NA,4.261065742479763e-5
spend_highways,6833.906728538309,16186.858350951368,NA,7.001139285513352e-28
spend_police,13487.534570765642,43656.7864693446,NA,2.2402458481015167e-67
spend_public_safety,32008.645475638365,104512.91331923885,NA,2.2361329807505685e-77
spend_welfare,14626.339675174015,51543.72304439754,NA,1.4654765442149255e-29
