key,att,se
spend_public_safety__nv,1198.7827284637958,360.3889068206537
spend_public_safety__v,13389.965857850028,4417.915952733908
spend_police__nv,585.502929925735,199.37526206044856
spend_police__v,6221.84658202059,2072.3301263448416
spend_welfare__nv,454.80875162292915,200.76125677837086
spend_welfare__v,10968.177045201452,4499.767241630911
spend_education__nv,1271.6834771839347,339.81539271335635
spend_education__v,8046.503161959863,4146.0579996364395
spend_highways__nv,274.8660119866654,236.12010917697964
spend_highways__v,1776.731232121978,1008.0283207239686
mpv_killings__nv,-0.012427388024693304,0.020864139375395597
mpv_killings__v,-0.12048516712371016,0.08226063320928106
