outcome,att_nv,att_v,se_nv,se_v,att_diff,se_diff,z_diff,p_diff,sign
v2x_polyarchy,-0.012151922608914161,0.007272065441897991,0.021054853679474832,0.0223856528960154,-0.019423988050812153,0.030731487419989576,-0.6320549274220174,0.5273509860286791,backlash
v2x_libdem,-0.0014582771872353733,0.010676545157402885,0.02113767378016672,0.018382047091620658,-0.012134822344638259,0.028012513420171834,-0.4331929149884838,0.6648746256114118,backlash
v2x_partipdem,-0.0022066152923550706,0.004117556539505477,0.014179354503623889,0.014116637520027243,-0.006324171831860547,0.020008336987647923,-0.3160768351595014,0.7519441889638764,backlash
polity2,-0.4842826471257247,0.7916693161967728,0.7387261626115658,0.6636523042889148,-1.2759519633224976,0.9930512193813549,-1.2848803147509174,0.19883411087763844,backlash
wdi_health_pct_gdp,0.4240198801610262,-0.29779742639399986,0.3558033271497227,0.24896003085115517,0.7218173065550261,0.43425465405936725,1.6621982051488755,0.096473039795166,premium
