  [91/120] noarrest | spend_public_safety | cutoff=0.75 | size_total_hi | full
  [92/120] noarrest | spend_public_safety | cutoff=0.75 | size_total_hi | drop_2020
  [93/120] noarrest | spend_police | cutoff=0.75 | size_total_hi | full
  [94/120] noarrest | spend_police | cutoff=0.75 | size_total_hi | drop_2020
  [95/120] noarrest | spend_welfare | cutoff=0.75 | size_total_hi | full
  [96/120] noarrest | spend_welfare | cutoff=0.75 | size_total_hi | drop_2020
  [97/120] noarrest | spend_education | cutoff=0.75 | size_total_hi | full
  [98/120] noarrest | spend_education | cutoff=0.75 | size_total_hi | drop_2020
  [99/120] noarrest | spend_highways | cutoff=0.75 | size_total_hi | full
  [100/120] noarrest | spend_highways | cutoff=0.75 | size_total_hi | drop_2020
  [101/120] noarrest | spend_public_safety | cutoff=0.90 | size_total | full
  [102/120] noarrest | spend_public_safety | cutoff=0.90 | size_total | drop_2020
  [103/120] noarrest | spend_police | cutoff=0.90 | size_total | full
  [104/120] noarrest | spend_police | cutoff=0.90 | size_total | drop_2020
  [105/120] noarrest | spend_welfare | cutoff=0.90 | size_total | full
  [106/120] noarrest | spend_welfare | cutoff=0.90 | size_total | drop_2020
  [107/120] noarrest | spend_education | cutoff=0.90 | size_total | full
  [108/120] noarrest | spend_education | cutoff=0.90 | size_total | drop_2020
  [109/120] noarrest | spend_highways | cutoff=0.90 | size_total | full
  [110/120] noarrest | spend_highways | cutoff=0.90 | size_total | drop_2020
  [111/120] noarrest | spend_public_safety | cutoff=0.90 | size_total_hi | full
  [112/120] noarrest | spend_public_safety | cutoff=0.90 | size_total_hi | drop_2020
  [113/120] noarrest | spend_police | cutoff=0.90 | size_total_hi | full
  [114/120] noarrest | spend_police | cutoff=0.90 | size_total_hi | drop_2020
  [115/120] noarrest | spend_welfare | cutoff=0.90 | size_total_hi | full
  [116/120] noarrest | spend_welfare | cutoff=0.90 | size_total_hi | drop_2020
  [117/120] noarrest | spend_education | cutoff=0.90 | size_total_hi | full
  [118/120] noarrest | spend_education | cutoff=0.90 | size_total_hi | drop_2020
  [119/120] noarrest | spend_highways | cutoff=0.90 | size_total_hi | full
  [120/120] noarrest | spend_highways | cutoff=0.90 | size_total_hi | drop_2020
