  [1/336] strict | spend_public_safety | cutoff=0.50 | size_total | full
  [2/336] strict | spend_public_safety | cutoff=0.50 | size_total | drop_2020
  [3/336] strict | spend_police | cutoff=0.50 | size_total | full
  [4/336] strict | spend_police | cutoff=0.50 | size_total | drop_2020
  [5/336] strict | spend_corrections | cutoff=0.50 | size_total | full
  [6/336] strict | spend_corrections | cutoff=0.50 | size_total | drop_2020
  [7/336] strict | spend_welfare | cutoff=0.50 | size_total | full
  [8/336] strict | spend_welfare | cutoff=0.50 | size_total | drop_2020
  [9/336] strict | spend_education | cutoff=0.50 | size_total | full
  [10/336] strict | spend_education | cutoff=0.50 | size_total | drop_2020
  [11/336] strict | spend_highways | cutoff=0.50 | size_total | full
  [12/336] strict | spend_highways | cutoff=0.50 | size_total | drop_2020
  [13/336] strict | spend_fire | cutoff=0.50 | size_total | full
  [14/336] strict | spend_fire | cutoff=0.50 | size_total | drop_2020
  [15/336] strict | spend_public_safety | cutoff=0.50 | size_total_hi | full
  [16/336] strict | spend_public_safety | cutoff=0.50 | size_total_hi | drop_2020
  [17/336] strict | spend_police | cutoff=0.50 | size_total_hi | full
  [18/336] strict | spend_police | cutoff=0.50 | size_total_hi | drop_2020
  [19/336] strict | spend_corrections | cutoff=0.50 | size_total_hi | full
  [20/336] strict | spend_corrections | cutoff=0.50 | size_total_hi | drop_2020
  [21/336] strict | spend_welfare | cutoff=0.50 | size_total_hi | full
  [22/336] strict | spend_welfare | cutoff=0.50 | size_total_hi | drop_2020
  [23/336] strict | spend_education | cutoff=0.50 | size_total_hi | full
  [24/336] strict | spend_education | cutoff=0.50 | size_total_hi | drop_2020
  [25/336] strict | spend_highways | cutoff=0.50 | size_total_hi | full
  [26/336] strict | spend_highways | cutoff=0.50 | size_total_hi | drop_2020
  [27/336] strict | spend_fire | cutoff=0.50 | size_total_hi | full
  [28/336] strict | spend_fire | cutoff=0.50 | size_total_hi | drop_2020
  [29/336] strict | spend_public_safety | cutoff=0.75 | size_total | full
  [30/336] strict | spend_public_safety | cutoff=0.75 | size_total | drop_2020
  [31/336] strict | spend_police | cutoff=0.75 | size_total | full
  [32/336] strict | spend_police | cutoff=0.75 | size_total | drop_2020
  [33/336] strict | spend_corrections | cutoff=0.75 | size_total | full
  [34/336] strict | spend_corrections | cutoff=0.75 | size_total | drop_2020
  [35/336] strict | spend_welfare | cutoff=0.75 | size_total | full
  [36/336] strict | spend_welfare | cutoff=0.75 | size_total | drop_2020
  [37/336] strict | spend_education | cutoff=0.75 | size_total | full
  [38/336] strict | spend_education | cutoff=0.75 | size_total | drop_2020
  [39/336] strict | spend_highways | cutoff=0.75 | size_total | full
  [40/336] strict | spend_highways | cutoff=0.75 | size_total | drop_2020
  [41/336] strict | spend_fire | cutoff=0.75 | size_total | full
  [42/336] strict | spend_fire | cutoff=0.75 | size_total | drop_2020
  [43/336] strict | spend_public_safety | cutoff=0.75 | size_total_hi | full
  [44/336] strict | spend_public_safety | cutoff=0.75 | size_total_hi | drop_2020
